date,DSE,Bank,Cement,Ceramics,Engineering,NBFI,Food,Fuel,Insurance,IT,Jute,Miscellaneous,Mutual_Fund,Paper,Pharmaceuticals,Service_Real_Estate,Tannery,Textile,Travel_Leisure,Telecommunication,Total Volume,DSEX
3/25/2025,3603.8,3266.74,2214.67,783.279,1811.9,1313.37,18586.2,2045.43,3182.42,1538.2,5541.03,3939.69,532.694,191.395,4480.68,2432.96,2456.56,1733.81,1334.25,4338.14,144511603,5214.20681
3/23/2025,3580.07,3252.27,2230.33,806.869,1811.26,1251.33,18509.6,2032.85,3151.84,1529.33,5515.99,3928.55,530.047,195.014,4424.61,2412.17,2447.07,1726.15,1326.08,4332.1,162873679,5183.35687
3/20/2025,3590.67,3271.98,2209.41,807.709,1831.58,1266.22,18530.7,2053.99,3165.47,1545.2,5607.35,3936.04,532.091,199.696,4393.29,2430.68,2447.5,1751.67,1325.51,4341.5,214929167,5201.69716
3/19/2025,3594.88,3298.56,2226.52,811.219,1815.78,1245.49,18582.6,2044.28,3173.86,1526.44,5649.6,3937.78,537.691,204.239,4370.33,2413.28,2450.16,1768.29,1320.71,4349.16,226450030,5207.35798
3/18/2025,3593.49,3303.06,2246.21,791.962,1807.68,1248.07,18593,2045.27,3195.04,1530.61,5678.68,3944.6,522.007,204.988,4358.15,2434.69,2457.32,1753.81,1318.72,4373.04,197550523,5210.295
3/17/2025,3588.59,3294.81,2254.9,794.999,1811.88,1238.43,18534.4,2025.4,3205.85,1531.03,5663.4,3951.29,501.608,207.798,4369.28,2407.2,2447.18,1748.4,1315.72,4378.03,195963473,5205.43745
3/16/2025,3599.71,3294.97,2257.82,780.206,1816.76,1249.87,18616.4,2039.23,3251.15,1542.93,5706.45,3960.65,500.547,202.302,4370.21,2400.85,2459.71,1758.63,1316.78,4467.72,169339231,5221.94611
3/13/2025,3603.78,3312.11,2254.88,759.223,1801.58,1260.59,18713.9,2051.36,3192.01,1545.91,5734.37,3966.32,503.277,196.391,4371.69,2393.64,2483.01,1771.69,1332.53,4424.74,146655694,5225.61398
3/12/2025,3596.58,3291.62,2263.07,738.948,1795.09,1264.29,18726.8,2068.31,3157.2,1554.21,5681.08,3983.55,500.055,199.011,4358.95,2397.54,2497.92,1775.4,1335.19,4422.06,159178644,5216.06559
3/11/2025,3583.63,3274.63,2263.19,734.176,1785.02,1259.29,18586.7,2069.45,3162.84,1555.49,5707.85,3969.6,496.698,198.83,4344.98,2387.92,2501.22,1763.45,1331.66,4427.02,123208312,5199.30089
3/10/2025,3578.13,3278.55,2267.36,731.359,1781.69,1258.44,18437.7,2086.47,3083.88,1545.89,5728.47,3952.31,493.723,192.242,4337.01,2384,2458.74,1769.68,1339.07,4455.57,104532186,5190.94571
3/9/2025,3565.17,3271.47,2256.61,725.943,1774.38,1264.34,18381,2082.66,3080.66,1543.32,5723.28,3936.12,492.569,185.049,4314.94,2374.49,2441.56,1758.03,1318.84,4439.05,124051573,5174.44098
3/6/2025,3587.52,3286.81,2274.22,741.286,1802.51,1277.79,18542.5,2074.24,3126.28,1566.01,5803.07,3947.2,496.242,191.817,4325.46,2410.32,2479.06,1787.61,1331.94,4460.07,128747336,5203.96022
3/5/2025,3584.53,3280.98,2277.74,743.554,1810.13,1268.29,18581.2,2054.88,3123.27,1569.07,5892.6,3935.23,495.989,192.158,4327.48,2400.28,2442.74,1797.53,1338.14,4449.08,124546920,5196.66064
3/4/2025,3583.9,3273.47,2290,751.752,1811.83,1273.96,18536.1,2050.38,3123.93,1569.3,5853.56,3942.93,496.713,191.669,4323.53,2404.44,2460.68,1806.5,1349.8,4449.71,134910616,5194.10631
